canonicalProductId,brand,name,decision,photoStatus,evidenceImageUrl,sourcePageUrl,nextAction
CANON-ВЛАДМИВА-00000018862,ВладМиВа,836.204.001.000.016,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/6ad/c8t3fffndxn9v3hdjak87wxhmtx7oqk6.jpg,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-016_1/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000025837,ВладМиВа,836.204.001.000.018,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/6ad/c8t3fffndxn9v3hdjak87wxhmtx7oqk6.jpg,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-018_1/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000018863,ВладМиВа,836.204.001.000.023,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/367/e5xzukk716rsffi8emeab8537rfq9kot.jpg,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-023/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000024058,ВладМиВа,836.204.001.000.025,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/367/e5xzukk716rsffi8emeab8537rfq9kot.jpg,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-025/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000022971,ВладМиВа,836.204.164.100.012,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/714/7ziu65m5tizsbpcqpf1bj85jm9jrftwt.jpg,https://www.vladmiva.ru/products/konusnye-uglovye/806-204-166-504-012/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000013442,ВладМиВа,836.204.164.100.014,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/714/7ziu65m5tizsbpcqpf1bj85jm9jrftwt.jpg,https://www.vladmiva.ru/products/konusnye-uglovye/806-204-166-504-014/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000016002,ВладМиВа,836.314.001.000.009,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/258/zdhb00qmnzmx8riookv8nx32acjntpq7.jpg,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-009/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000019808,ВладМиВа,836.314.001.000.010,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/572/mun1sou2fpy6pmxx7cw1yauy77zo70yq.jpg,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-010/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000014412,ВладМиВа,836.314.001.000.012,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/4e2/k64ctu20juxh0mz4lf00c68bzp0r1zej.jpg,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-012/,REVIEW_OR_REPLACE_IMAGE
CANON-ВЛАДМИВА-00000014929,ВладМиВа,836.314.001.000.014,MODERATION,SHARED_IMAGE_REVIEW_REQUIRED,https://www.vladmiva.ru/upload/iblock/115/fg4g5guftxv2cz23kjzpm9qbq1jrmf6a.jpg,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-014/,REVIEW_OR_REPLACE_IMAGE
