brand,canonicalProductName,manufacturerRef,kzStatus,evidenceUrl,lastChecked,notes
Interdent,Восковые полуфабрикаты,740,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-86,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые полуфабрикаты,741,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-86,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые полуфабрикаты,742,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-86,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые полуфабрикаты,743,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-86,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые ретенции,744,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-87,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые ретенции,745,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-87,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые ретенции,746,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-87,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые ретенции,747,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-87,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Муфельные кольца,364,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Муфельные кольца,365,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Муфельные кольца,366,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Проволока для кламмеров,308,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Проволока для кламмеров,309,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Проволока для кламмеров,310,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Проволока для кламмеров,312,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Силиконовая масса INTERLABOSIL,926,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/silikon/item-110,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Силиконовая масса INTERLABOSIL,927,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/silikon/item-110,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,"Диски сепарационные, шлифовальные",360,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,"Диски сепарационные, шлифовальные",358,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,"Диски сепарационные, шлифовальные",361-100,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,"Диски сепарационные, шлифовальные",367-100,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/rotary-tools/item-112,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Порошок зуботехнический корундовый Interalox,399,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Порошок зуботехнический корундовый Interalox,404,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Порошок зуботехнический корундовый Interalox,405,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Порошок зуботехнический корундовый Interalox,406,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-113,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Фильцы для полирования,813,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Фильцы для полирования,814,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Фильцы для полирования,815,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Фильцы для полирования,8121,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щетки для полировочного мотора,801,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щетки для полировочного мотора,802,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щетки для полировочного мотора,804,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щетки для полировочного мотора,807,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щётки,803,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щётки,819,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Полировочные щётки,8101,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Наждачная лента,820,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Наждачная лента,822,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Наждачная лента,823,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Кисточки для нанесения керамики,N4171,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Кисточки для нанесения керамики,K4130,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Кисточки для нанесения керамики,SB32-F0,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Артикуляционная бумага Interdent 80 мкм,100,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Артикуляционная бумага Interdent 80 мкм,101,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Артикуляционная бумага Interdent 80 мкм,102,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Артикуляционная бумага Interdent 80 мкм,103,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Артикуляционная бумага Interdent 80 мкм,1001,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Артикуляционная бумага Interdent 80 мкм,1002,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,252,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,253,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,254,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,255,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,256,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,257,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,292,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,293,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,294,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,295,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,296,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковая проволока на катушке,297,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-125,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые профили,204,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-126,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые профили,220H,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-126,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые профили,221H,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-126,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые профили,222H,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-126,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Восковые профили,223H,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/wax/item-126,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Спрей Interwaxit для обезжиривания восковых конструкций,432,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-127,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Спрей Interwaxit для обезжиривания восковых конструкций,413-100,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-127,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Окклюзионный спрей Interdent,92,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-128,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
Interdent,Окклюзионный спрей Interdent,93,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-128,2026-07-22,REF и вариант указаны непосредственно в карточке каталога Казахстана
